name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,0,cue_a,trait,logit,25,3569
Elias,direct,0,cue_a,trait,jlens,26,9829
Elias,direct,0,cue_a,trait,logit,26,2808
Elias,direct,0,cue_a,adj,jlens,13,33444
Elias,direct,0,cue_a,adj,logit,13,23948
Elias,direct,0,cue_a,adj,jlens,14,22702
Elias,direct,0,cue_a,adj,logit,14,14275
Elias,direct,0,cue_a,adj,jlens,15,18341
Elias,direct,0,cue_a,adj,logit,15,10229
Elias,direct,0,cue_a,adj,jlens,16,19735
Elias,direct,0,cue_a,adj,logit,16,6080
Elias,direct,0,cue_a,adj,jlens,17,14344
Elias,direct,0,cue_a,adj,logit,17,1906
Elias,direct,0,cue_a,adj,jlens,18,17716
Elias,direct,0,cue_a,adj,logit,18,1109
Elias,direct,0,cue_a,adj,jlens,19,19244
Elias,direct,0,cue_a,adj,logit,19,839
Elias,direct,0,cue_a,adj,jlens,20,22112
Elias,direct,0,cue_a,adj,logit,20,761
Elias,direct,0,cue_a,adj,jlens,21,26062
Elias,direct,0,cue_a,adj,logit,21,1509
Elias,direct,0,cue_a,adj,jlens,22,34208
Elias,direct,0,cue_a,adj,logit,22,2260
Elias,direct,0,cue_a,adj,jlens,23,30839
Elias,direct,0,cue_a,adj,logit,23,2946
Elias,direct,0,cue_a,adj,jlens,24,21978
Elias,direct,0,cue_a,adj,logit,24,2251
Elias,direct,0,cue_a,adj,jlens,25,17278
Elias,direct,0,cue_a,adj,logit,25,3569
Elias,direct,0,cue_a,adj,jlens,26,9829
Elias,direct,0,cue_a,adj,logit,26,2808
Elias,direct,0,cue_a,tracer,jlens,13,1189
Elias,direct,0,cue_a,tracer,logit,13,13291
Elias,direct,0,cue_a,tracer,jlens,14,1164
Elias,direct,0,cue_a,tracer,logit,14,16690
Elias,direct,0,cue_a,tracer,jlens,15,4112
Elias,direct,0,cue_a,tracer,logit,15,11932
Elias,direct,0,cue_a,tracer,jlens,16,4603
Elias,direct,0,cue_a,tracer,logit,16,4649
Elias,direct,0,cue_a,tracer,jlens,17,4600
Elias,direct,0,cue_a,tracer,logit,17,4166
Elias,direct,0,cue_a,tracer,jlens,18,4170
Elias,direct,0,cue_a,tracer,logit,18,5823
Elias,direct,0,cue_a,tracer,jlens,19,3775
Elias,direct,0,cue_a,tracer,logit,19,4070
Elias,direct,0,cue_a,tracer,jlens,20,3949
Elias,direct,0,cue_a,tracer,logit,20,2545
Elias,direct,0,cue_a,tracer,jlens,21,9647
Elias,direct,0,cue_a,tracer,logit,21,2931
Elias,direct,0,cue_a,tracer,jlens,22,14076
Elias,direct,0,cue_a,tracer,logit,22,6162
Elias,direct,0,cue_a,tracer,jlens,23,18030
Elias,direct,0,cue_a,tracer,logit,23,11024
Elias,direct,0,cue_a,tracer,jlens,24,15780
Elias,direct,0,cue_a,tracer,logit,24,9905
Elias,direct,0,cue_a,tracer,jlens,25,18838
Elias,direct,0,cue_a,tracer,logit,25,18262
Elias,direct,0,cue_a,tracer,jlens,26,21441
Elias,direct,0,cue_a,tracer,logit,26,17642
Elias,direct,0,passive,trait,jlens,13,2854
Elias,direct,0,passive,trait,logit,13,10905
Elias,direct,0,passive,trait,jlens,14,2826
Elias,direct,0,passive,trait,logit,14,18970
Elias,direct,0,passive,trait,jlens,15,2066
Elias,direct,0,passive,trait,logit,15,3989
Elias,direct,0,passive,trait,jlens,16,2231
Elias,direct,0,passive,trait,logit,16,1343
Elias,direct,0,passive,trait,jlens,17,1831
Elias,direct,0,passive,trait,logit,17,815
Elias,direct,0,passive,trait,jlens,18,2116
Elias,direct,0,passive,trait,logit,18,687
Elias,direct,0,passive,trait,jlens,19,2231
Elias,direct,0,passive,trait,logit,19,682
Elias,direct,0,passive,trait,jlens,20,3622
Elias,direct,0,passive,trait,logit,20,538
Elias,direct,0,passive,trait,jlens,21,4009
Elias,direct,0,passive,trait,logit,21,1438
Elias,direct,0,passive,trait,jlens,22,7120
Elias,direct,0,passive,trait,logit,22,2587
Elias,direct,0,passive,trait,jlens,23,9360
Elias,direct,0,passive,trait,logit,23,3304
Elias,direct,0,passive,trait,jlens,24,10078
Elias,direct,0,passive,trait,logit,24,2463
Elias,direct,0,passive,trait,jlens,25,10319
Elias,direct,0,passive,trait,logit,25,4406
Elias,direct,0,passive,trait,jlens,26,8784
Elias,direct,0,passive,trait,logit,26,2822
Elias,direct,0,passive,adj,jlens,13,5307
Elias,direct,0,passive,adj,logit,13,63718
Elias,direct,0,passive,adj,jlens,14,4848
Elias,direct,0,passive,adj,logit,14,79732
Elias,direct,0,passive,adj,jlens,15,2066
Elias,direct,0,passive,adj,logit,15,27990
Elias,direct,0,passive,adj,jlens,16,2948
Elias,direct,0,passive,adj,logit,16,2844
Elias,direct,0,passive,adj,jlens,17,2091
Elias,direct,0,passive,adj,logit,17,1014
Elias,direct,0,passive,adj,jlens,18,3602
Elias,direct,0,passive,adj,logit,18,687
Elias,direct,0,passive,adj,jlens,19,3491
Elias,direct,0,passive,adj,logit,19,682
Elias,direct,0,passive,adj,jlens,20,5527
Elias,direct,0,passive,adj,logit,20,538
Elias,direct,0,passive,adj,jlens,21,10429
Elias,direct,0,passive,adj,logit,21,1646
Elias,direct,0,passive,adj,jlens,22,19501
Elias,direct,0,passive,adj,logit,22,2587
Elias,direct,0,passive,adj,jlens,23,20521
Elias,direct,0,passive,adj,logit,23,3304
Elias,direct,0,passive,adj,jlens,24,13501
Elias,direct,0,passive,adj,logit,24,2463
Elias,direct,0,passive,adj,jlens,25,15542
Elias,direct,0,passive,adj,logit,25,4406
Elias,direct,0,passive,adj,jlens,26,8784
Elias,direct,0,passive,adj,logit,26,2822
Elias,direct,0,passive,tracer,jlens,13,4766
Elias,direct,0,passive,tracer,logit,13,118161
Elias,direct,0,passive,tracer,jlens,14,5054
Elias,direct,0,passive,tracer,logit,14,100296
Elias,direct,0,passive,tracer,jlens,15,2472
Elias,direct,0,passive,tracer,logit,15,19430
Elias,direct,0,passive,tracer,jlens,16,3738
Elias,direct,0,passive,tracer,logit,16,8136
Elias,direct,0,passive,tracer,jlens,17,4412
Elias,direct,0,passive,tracer,logit,17,5571
Elias,direct,0,passive,tracer,jlens,18,3125
Elias,direct,0,passive,tracer,logit,18,6557
Elias,direct,0,passive,tracer,jlens,19,4571
Elias,direct,0,passive,tracer,logit,19,7540
Elias,direct,0,passive,tracer,jlens,20,7434
Elias,direct,0,passive,tracer,logit,20,7580
Elias,direct,0,passive,tracer,jlens,21,8066
Elias,direct,0,passive,tracer,logit,21,6975
Elias,direct,0,passive,tracer,jlens,22,13125
Elias,direct,0,passive,tracer,logit,22,9930
Elias,direct,0,passive,tracer,jlens,23,17273
Elias,direct,0,passive,tracer,logit,23,10875
Elias,direct,0,passive,tracer,jlens,24,15076
Elias,direct,0,passive,tracer,logit,24,9319
Elias,direct,0,passive,tracer,jlens,25,18990
Elias,direct,0,passive,tracer,logit,25,18749
Elias,direct,0,passive,tracer,jlens,26,16154
Elias,direct,0,passive,tracer,logit,26,13669
Elias,direct,1,cue_b,trait,jlens,13,951
Elias,direct,1,cue_b,trait,logit,13,3019
Elias,direct,1,cue_b,trait,jlens,14,5088
Elias,direct,1,cue_b,trait,logit,14,2566
Elias,direct,1,cue_b,trait,jlens,15,921
Elias,direct,1,cue_b,trait,logit,15,2039
Elias,direct,1,cue_b,trait,jlens,16,975
Elias,direct,1,cue_b,trait,logit,16,396
Elias,direct,1,cue_b,trait,jlens,17,32
Elias,direct,1,cue_b,trait,logit,17,59
Elias,direct,1,cue_b,trait,jlens,18,62
Elias,direct,1,cue_b,trait,logit,18,39
Elias,direct,1,cue_b,trait,jlens,19,123
Elias,direct,1,cue_b,trait,logit,19,78
Elias,direct,1,cue_b,trait,jlens,20,86
Elias,direct,1,cue_b,trait,logit,20,15
Elias,direct,1,cue_b,trait,jlens,21,58
Elias,direct,1,cue_b,trait,logit,21,31
Elias,direct,1,cue_b,trait,jlens,22,45
Elias,direct,1,cue_b,trait,logit,22,37
Elias,direct,1,cue_b,trait,jlens,23,17
Elias,direct,1,cue_b,trait,logit,23,11
Elias,direct,1,cue_b,trait,jlens,24,7
Elias,direct,1,cue_b,trait,logit,24,5
Elias,direct,1,cue_b,trait,jlens,25,8
Elias,direct,1,cue_b,trait,logit,25,6
Elias,direct,1,cue_b,trait,jlens,26,2
Elias,direct,1,cue_b,trait,logit,26,3
Elias,direct,1,cue_b,adj,jlens,13,7086
Elias,direct,1,cue_b,adj,logit,13,19015
Elias,direct,1,cue_b,adj,jlens,14,18601
Elias,direct,1,cue_b,adj,logit,14,5098
Elias,direct,1,cue_b,adj,jlens,15,2363
Elias,direct,1,cue_b,adj,logit,15,2449
Elias,direct,1,cue_b,adj,jlens,16,2091
Elias,direct,1,cue_b,adj,logit,16,396
Elias,direct,1,cue_b,adj,jlens,17,110
Elias,direct,1,cue_b,adj,logit,17,59
Elias,direct,1,cue_b,adj,jlens,18,103
Elias,direct,1,cue_b,adj,logit,18,39
Elias,direct,1,cue_b,adj,jlens,19,123
Elias,direct,1,cue_b,adj,logit,19,78
Elias,direct,1,cue_b,adj,jlens,20,86
Elias,direct,1,cue_b,adj,logit,20,15
Elias,direct,1,cue_b,adj,jlens,21,58
Elias,direct,1,cue_b,adj,logit,21,31
Elias,direct,1,cue_b,adj,jlens,22,45
Elias,direct,1,cue_b,adj,logit,22,37
Elias,direct,1,cue_b,adj,jlens,23,17
Elias,direct,1,cue_b,adj,logit,23,11
Elias,direct,1,cue_b,adj,jlens,24,7
Elias,direct,1,cue_b,adj,logit,24,5
Elias,direct,1,cue_b,adj,jlens,25,8
Elias,direct,1,cue_b,adj,logit,25,6
Elias,direct,1,cue_b,adj,jlens,26,2
Elias,direct,1,cue_b,adj,logit,26,3
Elias,direct,1,cue_b,tracer,jlens,13,3522
Elias,direct,1,cue_b,tracer,logit,13,6073
Elias,direct,1,cue_b,tracer,jlens,14,6520
Elias,direct,1,cue_b,tracer,logit,14,4211
Elias,direct,1,cue_b,tracer,jlens,15,1758
Elias,direct,1,cue_b,tracer,logit,15,2874
