name,arm,distance,cue,measure,lens,layer,rank
Elias,direct,15,cue_a,trait,logit,25,3371
Elias,direct,15,cue_a,trait,jlens,26,7965
Elias,direct,15,cue_a,trait,logit,26,2499
Elias,direct,15,cue_a,adj,jlens,13,42736
Elias,direct,15,cue_a,adj,logit,13,39784
Elias,direct,15,cue_a,adj,jlens,14,28053
Elias,direct,15,cue_a,adj,logit,14,36632
Elias,direct,15,cue_a,adj,jlens,15,57638
Elias,direct,15,cue_a,adj,logit,15,26954
Elias,direct,15,cue_a,adj,jlens,16,76215
Elias,direct,15,cue_a,adj,logit,16,5091
Elias,direct,15,cue_a,adj,jlens,17,26694
Elias,direct,15,cue_a,adj,logit,17,2140
Elias,direct,15,cue_a,adj,jlens,18,27324
Elias,direct,15,cue_a,adj,logit,18,963
Elias,direct,15,cue_a,adj,jlens,19,21869
Elias,direct,15,cue_a,adj,logit,19,624
Elias,direct,15,cue_a,adj,jlens,20,21764
Elias,direct,15,cue_a,adj,logit,20,687
Elias,direct,15,cue_a,adj,jlens,21,29051
Elias,direct,15,cue_a,adj,logit,21,1733
Elias,direct,15,cue_a,adj,jlens,22,33738
Elias,direct,15,cue_a,adj,logit,22,2164
Elias,direct,15,cue_a,adj,jlens,23,24205
Elias,direct,15,cue_a,adj,logit,23,2381
Elias,direct,15,cue_a,adj,jlens,24,15927
Elias,direct,15,cue_a,adj,logit,24,1876
Elias,direct,15,cue_a,adj,jlens,25,13924
Elias,direct,15,cue_a,adj,logit,25,3371
Elias,direct,15,cue_a,adj,jlens,26,7965
Elias,direct,15,cue_a,adj,logit,26,2499
Elias,direct,15,cue_a,tracer,jlens,13,2444
Elias,direct,15,cue_a,tracer,logit,13,30301
Elias,direct,15,cue_a,tracer,jlens,14,2564
Elias,direct,15,cue_a,tracer,logit,14,46282
Elias,direct,15,cue_a,tracer,jlens,15,8238
Elias,direct,15,cue_a,tracer,logit,15,33492
Elias,direct,15,cue_a,tracer,jlens,16,13753
Elias,direct,15,cue_a,tracer,logit,16,8150
Elias,direct,15,cue_a,tracer,jlens,17,10281
Elias,direct,15,cue_a,tracer,logit,17,8098
Elias,direct,15,cue_a,tracer,jlens,18,8486
Elias,direct,15,cue_a,tracer,logit,18,10277
Elias,direct,15,cue_a,tracer,jlens,19,5800
Elias,direct,15,cue_a,tracer,logit,19,6713
Elias,direct,15,cue_a,tracer,jlens,20,6511
Elias,direct,15,cue_a,tracer,logit,20,4621
Elias,direct,15,cue_a,tracer,jlens,21,13566
Elias,direct,15,cue_a,tracer,logit,21,4872
Elias,direct,15,cue_a,tracer,jlens,22,19454
Elias,direct,15,cue_a,tracer,logit,22,9905
Elias,direct,15,cue_a,tracer,jlens,23,25323
Elias,direct,15,cue_a,tracer,logit,23,15316
Elias,direct,15,cue_a,tracer,jlens,24,19663
Elias,direct,15,cue_a,tracer,logit,24,12178
Elias,direct,15,cue_a,tracer,jlens,25,23623
Elias,direct,15,cue_a,tracer,logit,25,20767
Elias,direct,15,cue_a,tracer,jlens,26,26990
Elias,direct,15,cue_a,tracer,logit,26,18898
Elias,direct,15,passive,trait,jlens,13,2032
Elias,direct,15,passive,trait,logit,13,13839
Elias,direct,15,passive,trait,jlens,14,4010
Elias,direct,15,passive,trait,logit,14,15233
Elias,direct,15,passive,trait,jlens,15,5135
Elias,direct,15,passive,trait,logit,15,6932
Elias,direct,15,passive,trait,jlens,16,9829
Elias,direct,15,passive,trait,logit,16,4192
Elias,direct,15,passive,trait,jlens,17,5728
Elias,direct,15,passive,trait,logit,17,4771
Elias,direct,15,passive,trait,jlens,18,10567
Elias,direct,15,passive,trait,logit,18,3661
Elias,direct,15,passive,trait,jlens,19,11462
Elias,direct,15,passive,trait,logit,19,3430
Elias,direct,15,passive,trait,jlens,20,17993
Elias,direct,15,passive,trait,logit,20,2987
Elias,direct,15,passive,trait,jlens,21,28460
Elias,direct,15,passive,trait,logit,21,3312
Elias,direct,15,passive,trait,jlens,22,28437
Elias,direct,15,passive,trait,logit,22,3728
Elias,direct,15,passive,trait,jlens,23,22890
Elias,direct,15,passive,trait,logit,23,4791
Elias,direct,15,passive,trait,jlens,24,15161
Elias,direct,15,passive,trait,logit,24,4221
Elias,direct,15,passive,trait,jlens,25,16973
Elias,direct,15,passive,trait,logit,25,5230
Elias,direct,15,passive,trait,jlens,26,15156
Elias,direct,15,passive,trait,logit,26,5337
Elias,direct,15,passive,adj,jlens,13,4661
Elias,direct,15,passive,adj,logit,13,13839
Elias,direct,15,passive,adj,jlens,14,4903
Elias,direct,15,passive,adj,logit,14,15233
Elias,direct,15,passive,adj,jlens,15,5740
Elias,direct,15,passive,adj,logit,15,8277
Elias,direct,15,passive,adj,jlens,16,12900
Elias,direct,15,passive,adj,logit,16,5388
Elias,direct,15,passive,adj,jlens,17,8488
Elias,direct,15,passive,adj,logit,17,4771
Elias,direct,15,passive,adj,jlens,18,18144
Elias,direct,15,passive,adj,logit,18,3661
Elias,direct,15,passive,adj,jlens,19,21116
Elias,direct,15,passive,adj,logit,19,3430
Elias,direct,15,passive,adj,jlens,20,29489
Elias,direct,15,passive,adj,logit,20,2987
Elias,direct,15,passive,adj,jlens,21,51605
Elias,direct,15,passive,adj,logit,21,3312
Elias,direct,15,passive,adj,jlens,22,51007
Elias,direct,15,passive,adj,logit,22,3728
Elias,direct,15,passive,adj,jlens,23,36670
Elias,direct,15,passive,adj,logit,23,4791
Elias,direct,15,passive,adj,jlens,24,20687
Elias,direct,15,passive,adj,logit,24,4221
Elias,direct,15,passive,adj,jlens,25,22120
Elias,direct,15,passive,adj,logit,25,5230
Elias,direct,15,passive,adj,jlens,26,18840
Elias,direct,15,passive,adj,logit,26,5337
Elias,direct,15,passive,tracer,jlens,13,15616
Elias,direct,15,passive,tracer,logit,13,70862
Elias,direct,15,passive,tracer,jlens,14,22220
Elias,direct,15,passive,tracer,logit,14,122438
Elias,direct,15,passive,tracer,jlens,15,39827
Elias,direct,15,passive,tracer,logit,15,151488
Elias,direct,15,passive,tracer,jlens,16,59254
Elias,direct,15,passive,tracer,logit,16,62541
Elias,direct,15,passive,tracer,jlens,17,26541
Elias,direct,15,passive,tracer,logit,17,24868
Elias,direct,15,passive,tracer,jlens,18,28937
Elias,direct,15,passive,tracer,logit,18,23884
