name,arm,distance,condition,measure,lens,layer,rank
Elias,inferred,1,control,trait,jlens,14,17092
Elias,inferred,1,control,trait,logit,14,4184
Elias,inferred,1,control,trait,jlens,15,1796
Elias,inferred,1,control,trait,logit,15,714
Elias,inferred,1,control,trait,jlens,16,1249
Elias,inferred,1,control,trait,logit,16,116
Elias,inferred,1,control,trait,jlens,17,26
Elias,inferred,1,control,trait,logit,17,30
Elias,inferred,1,control,trait,jlens,18,25
Elias,inferred,1,control,trait,logit,18,20
Elias,inferred,1,control,trait,jlens,19,46
Elias,inferred,1,control,trait,logit,19,33
Elias,inferred,1,control,trait,jlens,20,38
Elias,inferred,1,control,trait,logit,20,6
Elias,inferred,1,control,trait,jlens,21,11
Elias,inferred,1,control,trait,logit,21,4
Elias,inferred,1,control,trait,jlens,22,3
Elias,inferred,1,control,trait,logit,22,5
Elias,inferred,1,control,trait,jlens,23,10
Elias,inferred,1,control,trait,logit,23,5
Elias,inferred,1,control,trait,jlens,24,5
Elias,inferred,1,control,trait,logit,24,3
Elias,inferred,1,control,trait,jlens,25,3
Elias,inferred,1,control,trait,logit,25,3
Elias,inferred,1,control,trait,jlens,26,2
Elias,inferred,1,control,trait,logit,26,1
Elias,inferred,2,baseline,trait,jlens,13,4729
Elias,inferred,2,baseline,trait,logit,13,7832
Elias,inferred,2,baseline,trait,jlens,14,30846
Elias,inferred,2,baseline,trait,logit,14,12395
Elias,inferred,2,baseline,trait,jlens,15,2972
Elias,inferred,2,baseline,trait,logit,15,4528
Elias,inferred,2,baseline,trait,jlens,16,2247
Elias,inferred,2,baseline,trait,logit,16,426
Elias,inferred,2,baseline,trait,jlens,17,73
Elias,inferred,2,baseline,trait,logit,17,51
Elias,inferred,2,baseline,trait,jlens,18,67
Elias,inferred,2,baseline,trait,logit,18,28
Elias,inferred,2,baseline,trait,jlens,19,47
Elias,inferred,2,baseline,trait,logit,19,37
Elias,inferred,2,baseline,trait,jlens,20,65
Elias,inferred,2,baseline,trait,logit,20,9
Elias,inferred,2,baseline,trait,jlens,21,29
Elias,inferred,2,baseline,trait,logit,21,12
Elias,inferred,2,baseline,trait,jlens,22,19
Elias,inferred,2,baseline,trait,logit,22,11
Elias,inferred,2,baseline,trait,jlens,23,34
Elias,inferred,2,baseline,trait,logit,23,16
Elias,inferred,2,baseline,trait,jlens,24,9
Elias,inferred,2,baseline,trait,logit,24,6
Elias,inferred,2,baseline,trait,jlens,25,10
Elias,inferred,2,baseline,trait,logit,25,8
Elias,inferred,2,baseline,trait,jlens,26,8
Elias,inferred,2,baseline,trait,logit,26,5
Elias,inferred,2,scene,trait,jlens,13,6552
Elias,inferred,2,scene,trait,logit,13,4848
Elias,inferred,2,scene,trait,jlens,14,83629
Elias,inferred,2,scene,trait,logit,14,5534
Elias,inferred,2,scene,trait,jlens,15,5600
Elias,inferred,2,scene,trait,logit,15,4486
Elias,inferred,2,scene,trait,jlens,16,6469
Elias,inferred,2,scene,trait,logit,16,457
Elias,inferred,2,scene,trait,jlens,17,1193
Elias,inferred,2,scene,trait,logit,17,265
Elias,inferred,2,scene,trait,jlens,18,801
Elias,inferred,2,scene,trait,logit,18,136
Elias,inferred,2,scene,trait,jlens,19,396
Elias,inferred,2,scene,trait,logit,19,156
Elias,inferred,2,scene,trait,jlens,20,363
Elias,inferred,2,scene,trait,logit,20,54
Elias,inferred,2,scene,trait,jlens,21,366
Elias,inferred,2,scene,trait,logit,21,147
Elias,inferred,2,scene,trait,jlens,22,316
Elias,inferred,2,scene,trait,logit,22,147
Elias,inferred,2,scene,trait,jlens,23,350
Elias,inferred,2,scene,trait,logit,23,174
Elias,inferred,2,scene,trait,jlens,24,234
Elias,inferred,2,scene,trait,logit,24,120
Elias,inferred,2,scene,trait,jlens,25,209
Elias,inferred,2,scene,trait,logit,25,87
Elias,inferred,2,scene,trait,jlens,26,211
Elias,inferred,2,scene,trait,logit,26,91
Elias,inferred,2,control,trait,jlens,13,4563
Elias,inferred,2,control,trait,logit,13,9318
Elias,inferred,2,control,trait,jlens,14,20991
Elias,inferred,2,control,trait,logit,14,6135
Elias,inferred,2,control,trait,jlens,15,2120
Elias,inferred,2,control,trait,logit,15,1694
Elias,inferred,2,control,trait,jlens,16,4869
Elias,inferred,2,control,trait,logit,16,512
Elias,inferred,2,control,trait,jlens,17,182
Elias,inferred,2,control,trait,logit,17,75
Elias,inferred,2,control,trait,jlens,18,125
Elias,inferred,2,control,trait,logit,18,38
Elias,inferred,2,control,trait,jlens,19,141
Elias,inferred,2,control,trait,logit,19,46
Elias,inferred,2,control,trait,jlens,20,89
Elias,inferred,2,control,trait,logit,20,8
Elias,inferred,2,control,trait,jlens,21,25
Elias,inferred,2,control,trait,logit,21,6
Elias,inferred,2,control,trait,jlens,22,19
Elias,inferred,2,control,trait,logit,22,8
Elias,inferred,2,control,trait,jlens,23,25
Elias,inferred,2,control,trait,logit,23,10
Elias,inferred,2,control,trait,jlens,24,7
Elias,inferred,2,control,trait,logit,24,2
Elias,inferred,2,control,trait,jlens,25,7
Elias,inferred,2,control,trait,logit,25,3
Elias,inferred,2,control,trait,jlens,26,6
Elias,inferred,2,control,trait,logit,26,1
Elias,inferred,4,baseline,trait,jlens,13,2406
Elias,inferred,4,baseline,trait,logit,13,11846
Elias,inferred,4,baseline,trait,jlens,14,9536
Elias,inferred,4,baseline,trait,logit,14,13625
Elias,inferred,4,baseline,trait,jlens,15,1962
Elias,inferred,4,baseline,trait,logit,15,3270
Elias,inferred,4,baseline,trait,jlens,16,2344
Elias,inferred,4,baseline,trait,logit,16,503
Elias,inferred,4,baseline,trait,jlens,17,78
Elias,inferred,4,baseline,trait,logit,17,52
Elias,inferred,4,baseline,trait,jlens,18,49
Elias,inferred,4,baseline,trait,logit,18,26
Elias,inferred,4,baseline,trait,jlens,19,31
Elias,inferred,4,baseline,trait,logit,19,32
Elias,inferred,4,baseline,trait,jlens,20,40
Elias,inferred,4,baseline,trait,logit,20,8
Elias,inferred,4,baseline,trait,jlens,21,21
Elias,inferred,4,baseline,trait,logit,21,12
Elias,inferred,4,baseline,trait,jlens,22,21
Elias,inferred,4,baseline,trait,logit,22,11
Elias,inferred,4,baseline,trait,jlens,23,32
Elias,inferred,4,baseline,trait,logit,23,16
Elias,inferred,4,baseline,trait,jlens,24,11
Elias,inferred,4,baseline,trait,logit,24,6
Elias,inferred,4,baseline,trait,jlens,25,11
Elias,inferred,4,baseline,trait,logit,25,8
Elias,inferred,4,baseline,trait,jlens,26,8
Elias,inferred,4,baseline,trait,logit,26,6
Elias,inferred,4,scene,trait,jlens,13,5600
Elias,inferred,4,scene,trait,logit,13,7831
Elias,inferred,4,scene,trait,jlens,14,72315
Elias,inferred,4,scene,trait,logit,14,7578
Elias,inferred,4,scene,trait,jlens,15,2587
Elias,inferred,4,scene,trait,logit,15,2127
Elias,inferred,4,scene,trait,jlens,16,3601
Elias,inferred,4,scene,trait,logit,16,425
Elias,inferred,4,scene,trait,jlens,17,423
Elias,inferred,4,scene,trait,logit,17,189
Elias,inferred,4,scene,trait,jlens,18,371
Elias,inferred,4,scene,trait,logit,18,94
Elias,inferred,4,scene,trait,jlens,19,309
Elias,inferred,4,scene,trait,logit,19,156
Elias,inferred,4,scene,trait,jlens,20,300
Elias,inferred,4,scene,trait,logit,20,75
Elias,inferred,4,scene,trait,jlens,21,419
Elias,inferred,4,scene,trait,logit,21,155
Elias,inferred,4,scene,trait,jlens,22,356
Elias,inferred,4,scene,trait,logit,22,155
Elias,inferred,4,scene,trait,jlens,23,239
Elias,inferred,4,scene,trait,logit,23,178
Elias,inferred,4,scene,trait,jlens,24,264
Elias,inferred,4,scene,trait,logit,24,146
Elias,inferred,4,scene,trait,jlens,25,325
Elias,inferred,4,scene,trait,logit,25,133
Elias,inferred,4,scene,trait,jlens,26,328
Elias,inferred,4,scene,trait,logit,26,138
Elias,inferred,4,control,trait,jlens,13,5188
Elias,inferred,4,control,trait,logit,13,18462
Elias,inferred,4,control,trait,jlens,14,43709
Elias,inferred,4,control,trait,logit,14,11283
Elias,inferred,4,control,trait,jlens,15,1702
Elias,inferred,4,control,trait,logit,15,3312
Elias,inferred,4,control,trait,jlens,16,2839
Elias,inferred,4,control,trait,logit,16,414
Elias,inferred,4,control,trait,jlens,17,112
Elias,inferred,4,control,trait,logit,17,60
Elias,inferred,4,control,trait,jlens,18,82
Elias,inferred,4,control,trait,logit,18,30
Elias,inferred,4,control,trait,jlens,19,56
Elias,inferred,4,control,trait,logit,19,31
Elias,inferred,4,control,trait,jlens,20,64
Elias,inferred,4,control,trait,logit,20,9
Elias,inferred,4,control,trait,jlens,21,32
Elias,inferred,4,control,trait,logit,21,10
Elias,inferred,4,control,trait,jlens,22,28
Elias,inferred,4,control,trait,logit,22,12
Elias,inferred,4,control,trait,jlens,23,44
Elias,inferred,4,control,trait,logit,23,16
Elias,inferred,4,control,trait,jlens,24,11
Elias,inferred,4,control,trait,logit,24,6
Elias,inferred,4,control,trait,jlens,25,13
Elias,inferred,4,control,trait,logit,25,8
Elias,inferred,4,control,trait,jlens,26,9
Elias,inferred,4,control,trait,logit,26,7
Elias,inferred,7,baseline,trait,jlens,13,2722
Elias,inferred,7,baseline,trait,logit,13,12976
Elias,inferred,7,baseline,trait,jlens,14,5889
Elias,inferred,7,baseline,trait,logit,14,13257
Elias,inferred,7,baseline,trait,jlens,15,1365
Elias,inferred,7,baseline,trait,logit,15,4666
Elias,inferred,7,baseline,trait,jlens,16,2422
Elias,inferred,7,baseline,trait,logit,16,683
Elias,inferred,7,baseline,trait,jlens,17,131
Elias,inferred,7,baseline,trait,logit,17,59
Elias,inferred,7,baseline,trait,jlens,18,83
Elias,inferred,7,baseline,trait,logit,18,34
Elias,inferred,7,baseline,trait,jlens,19,50
Elias,inferred,7,baseline,trait,logit,19,39
Elias,inferred,7,baseline,trait,jlens,20,49
Elias,inferred,7,baseline,trait,logit,20,8
Elias,inferred,7,baseline,trait,jlens,21,27
Elias,inferred,7,baseline,trait,logit,21,12
Elias,inferred,7,baseline,trait,jlens,22,29
Elias,inferred,7,baseline,trait,logit,22,13
Elias,inferred,7,baseline,trait,jlens,23,40
Elias,inferred,7,baseline,trait,logit,23,19
