doc,layer,depth_frac,kurtosis,cos_to_next,next_token_agreement
0,0,0.0,0.9652397632598877,0.973889946937561,0.0
0,1,0.030303030303030304,0.7498769164085388,0.9654916524887085,0.0
0,2,0.06060606060606061,0.5730434656143188,0.9691165685653687,0.0
0,3,0.09090909090909091,0.7024289965629578,0.9298273324966431,0.0
0,4,0.12121212121212122,0.5206817984580994,0.9255361557006836,0.0
0,5,0.15151515151515152,0.496177613735199,0.9263675808906555,0.0
0,6,0.18181818181818182,0.3033512830734253,0.984311044216156,0.0625
0,7,0.21212121212121213,0.33794236183166504,0.9735899567604065,0.125
0,8,0.24242424242424243,0.3544315695762634,0.9774914383888245,0.0
0,9,0.2727272727272727,0.361512154340744,0.970230758190155,0.0
0,10,0.30303030303030304,0.4278782606124878,0.9703636169433594,0.0
0,11,0.3333333333333333,0.45926138758659363,0.9743459224700928,0.0
0,12,0.36363636363636365,0.43634092807769775,0.9121168851852417,0.0
0,13,0.3939393939393939,0.40138351917266846,0.9526512026786804,0.0
0,14,0.42424242424242425,0.4713459610939026,0.9530496001243591,0.0
0,15,0.45454545454545453,0.525368332862854,0.9701114892959595,0.0
0,16,0.48484848484848486,0.5124411582946777,0.9484279751777649,0.0625
0,17,0.5151515151515151,0.5039891004562378,0.9761115312576294,0.0
0,18,0.5454545454545454,0.5479089617729187,0.9806007146835327,0.0
0,19,0.5757575757575758,0.5471067428588867,0.9764522314071655,0.0
0,20,0.6060606060606061,0.5909359455108643,0.9752957224845886,0.125
0,21,0.6363636363636364,0.8580483198165894,0.9629029631614685,0.1875
0,22,0.6666666666666666,1.1556432247161865,0.9648336172103882,0.1875
0,23,0.696969696969697,1.3995109796524048,0.9644222855567932,0.125
0,24,0.7272727272727273,1.5490283966064453,0.9309931993484497,0.3125
0,25,0.7575757575757576,1.8770040273666382,0.9507110714912415,0.125
0,26,0.7878787878787878,1.8729941844940186,0.9722093343734741,0.3125
0,27,0.8181818181818182,1.8129196166992188,0.9659408926963806,0.25
0,28,0.8484848484848485,1.5412534475326538,0.9756466150283813,0.3125
0,29,0.8787878787878788,1.5044149160385132,0.9866460561752319,0.375
0,30,0.9090909090909091,1.2489724159240723,0.9814537167549133,0.5
0,31,0.9393939393939394,1.005034327507019,0.9851506948471069,0.5
0,32,0.9696969696969697,0.9424523711204529,,0.6875
1,0,0.0,1.1328980922698975,0.9727300405502319,0.0
1,1,0.030303030303030304,0.9733229875564575,0.9620028734207153,0.0
1,2,0.06060606060606061,0.851169764995575,0.9687421321868896,0.0
1,3,0.09090909090909091,1.0568538904190063,0.9263429641723633,0.0
1,4,0.12121212121212122,0.9143058061599731,0.9156069755554199,0.0
1,5,0.15151515151515152,1.0395143032073975,0.9421049952507019,0.0
1,6,0.18181818181818182,0.7872735261917114,0.9813020825386047,0.0
1,7,0.21212121212121213,0.7933170199394226,0.9535093307495117,0.0
1,8,0.24242424242424243,0.7713662981987,0.9654058218002319,0.0
1,9,0.2727272727272727,0.7821334600448608,0.9689769148826599,0.0
1,10,0.30303030303030304,0.7917531132698059,0.975799024105072,0.0
1,11,0.3333333333333333,0.7081872224807739,0.9769618511199951,0.0
1,12,0.36363636363636365,0.6553773880004883,0.9408266544342041,0.0
1,13,0.3939393939393939,0.663832426071167,0.9603167176246643,0.0
1,14,0.42424242424242425,0.7074171900749207,0.959341824054718,0.0
1,15,0.45454545454545453,0.720670223236084,0.9742022156715393,0.0
1,16,0.48484848484848486,0.6708852052688599,0.9540475010871887,0.0
1,17,0.5151515151515151,0.748649537563324,0.9752668142318726,0.0
1,18,0.5454545454545454,0.7971755862236023,0.9800317883491516,0.0
1,19,0.5757575757575758,0.6785436868667603,0.9686161279678345,0.0
1,20,0.6060606060606061,0.5889017581939697,0.9670080542564392,0.0625
1,21,0.6363636363636364,0.7213112711906433,0.9548950791358948,0.0625
1,22,0.6666666666666666,0.7461349964141846,0.9530981779098511,0.125
1,23,0.696969696969697,0.9485944509506226,0.9469815492630005,0.125
1,24,0.7272727272727273,1.053896188735962,0.9231067299842834,0.1875
1,25,0.7575757575757576,1.1413772106170654,0.9434100985527039,0.25
1,26,0.7878787878787878,1.113327980041504,0.9662437438964844,0.375
1,27,0.8181818181818182,1.038041353225708,0.9649071097373962,0.5625
1,28,0.8484848484848485,0.9303361773490906,0.9717769622802734,0.625
1,29,0.8787878787878788,0.9215276837348938,0.9856534004211426,0.6875
1,30,0.9090909090909091,0.8742563724517822,0.9859758615493774,0.625
1,31,0.9393939393939394,0.8641608953475952,0.9874923825263977,0.8125
1,32,0.9696969696969697,1.0168414115905762,,0.8125
2,0,0.0,1.9982242584228516,0.9656108021736145,0.0
2,1,0.030303030303030304,1.4728964567184448,0.9659144282341003,0.0
2,2,0.06060606060606061,1.5096722841262817,0.9552937150001526,0.0
2,3,0.09090909090909091,2.264436960220337,0.9252899885177612,0.0
2,4,0.12121212121212122,1.0604894161224365,0.9306448101997375,0.0
2,5,0.15151515151515152,0.8820714950561523,0.9442702531814575,0.0
2,6,0.18181818181818182,0.9673504829406738,0.9714279174804688,0.0
2,7,0.21212121212121213,1.0202832221984863,0.9584760069847107,0.0
2,8,0.24242424242424243,0.8099097609519958,0.9718902111053467,0.0
2,9,0.2727272727272727,1.0180472135543823,0.9719108939170837,0.0
2,10,0.30303030303030304,0.8144571781158447,0.9761462211608887,0.0
2,11,0.3333333333333333,0.6727171540260315,0.9761717915534973,0.0
2,12,0.36363636363636365,0.6873868703842163,0.9497137665748596,0.0
2,13,0.3939393939393939,0.5276113748550415,0.9589709043502808,0.0
2,14,0.42424242424242425,0.7265142798423767,0.9548971056938171,0.0
2,15,0.45454545454545453,0.5693709850311279,0.9762508869171143,0.0
2,16,0.48484848484848486,0.5288583636283875,0.9427724480628967,0.0
2,17,0.5151515151515151,0.4898785948753357,0.9799219965934753,0.0
2,18,0.5454545454545454,0.5009595155715942,0.9799211621284485,0.0
2,19,0.5757575757575758,0.4559127688407898,0.9700499773025513,0.0
2,20,0.6060606060606061,0.48859161138534546,0.9772263169288635,0.0625
2,21,0.6363636363636364,0.6891374588012695,0.9607487916946411,0.0625
2,22,0.6666666666666666,0.8173397779464722,0.9648605585098267,0.125
2,23,0.696969696969697,1.0760715007781982,0.9639863967895508,0.1875
2,24,0.7272727272727273,1.2841583490371704,0.9446010589599609,0.1875
2,25,0.7575757575757576,1.480839490890503,0.9502598643302917,0.1875
2,26,0.7878787878787878,1.4979183673858643,0.9726184606552124,0.25
2,27,0.8181818181818182,1.528035044670105,0.9621381759643555,0.3125
2,28,0.8484848484848485,1.350089430809021,0.9751092791557312,0.4375
2,29,0.8787878787878788,1.239901065826416,0.9823322892189026,0.625
2,30,0.9090909090909091,1.0357974767684937,0.9838317036628723,0.625
2,31,0.9393939393939394,0.9362413287162781,0.9832525253295898,0.6875
2,32,0.9696969696969697,0.9629671573638916,,0.625
3,0,0.0,1.8455722332000732,0.916664719581604,0.0
3,1,0.030303030303030304,1.6776297092437744,0.934406042098999,0.0
3,2,0.06060606060606061,1.2659300565719604,0.956663191318512,0.0
3,3,0.09090909090909091,1.8136540651321411,0.9088112115859985,0.0
3,4,0.12121212121212122,0.765239953994751,0.9203113317489624,0.0
3,5,0.15151515151515152,1.2589713335037231,0.9223269820213318,0.0
3,6,0.18181818181818182,0.809740424156189,0.9786570072174072,0.0
3,7,0.21212121212121213,0.8644247651100159,0.9727808237075806,0.0
3,8,0.24242424242424243,0.8972492218017578,0.976853609085083,0.0
3,9,0.2727272727272727,1.0418230295181274,0.9714111089706421,0.0
3,10,0.30303030303030304,0.9290861487388611,0.9698254466056824,0.0
